id,title,release_date,runtime,vote_count,vote_average,overview,genres,production_companies,production_countries,cast,directors,poster_url,trailer_url,movieURL
75674,Act of Valor,2012-02-24,110,1189,6.5,"When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack.","Action, Thriller, War",Bandito Brothers,United States of America,"Roselyn Sánchez, Jason Cottle, Alex Veadov, Nestor Serrano, Ailsa Marshall, Gonzalo Menendez, Emilio Rivera, Dimiter D. Marinov, Rorke Denver, Dave Hansen","Mike McCoy, Scott Waugh",https://image.tmdb.org/t/p/w500/1Xcd5ci69pVXMPP02DU11Ffq0yY.jpg,https://www.youtube.com/watch?v=35b_UqGYZgw,https://www.rottentomatoes.com/m/act_of_valor
73567,Killer Joe,2012-06-07,102,1506,6.525,A cop who moonlights as a hit man agrees to kill the hated mother of a desperate drug dealer in exchange for a tumble with the young man's virginal sister.,"Crime, Thriller, Drama","ANA Media, Worldview Entertainment, Voltage Pictures, Picture Perfect Corporation",United States of America,"Matthew McConaughey, Emile Hirsch, Juno Temple, Thomas Haden Church, Gina Gershon, Marc Macaulay, Gralen Bryant Banks, Carol Sutton, Danny Epper, Jeff Galpin",William Friedkin,https://image.tmdb.org/t/p/w500/6Tt1TQeOI4TpXu1cBUgNGNGeznW.jpg,https://www.youtube.com/watch?v=fF8dz-JPjNk,https://www.rottentomatoes.com/m/killer_joe
127962,Leviathan,2012-08-09,87,100,6.51,An experimental portrait of the North American commercial fishing industry through the lens of GoPro cameras placed on a fishing vessel off the coast of New England.,Documentary,"Arrete Ton Cinema, Cinereach, Creative Capital, SEL","France, United Kingdom, United States of America","Declan Conneely, Johnny Gatcombe, Adrian Guillette, Brian Jannelle, Clyde Lee, Arthur Smith, Christopher Swampstead","Lucien Castaing-Taylor, Véréna Paravel",https://image.tmdb.org/t/p/w500/yU626BbyIZ4VraJJuFwXHEhcEK3.jpg,https://www.youtube.com/watch?v=vntC7OPDHs8,https://www.rottentomatoes.com/m/leviafan
72387,Safe,2012-04-16,94,2571,6.496,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.","Action, Crime, Thriller","IM Global, Automatik Entertainment, Lawrence Bender Productions, Trigger Street Productions, Reliance Entertainment, Lionsgate","India, United States of America","Jason Statham, Chris Sarandon, James Hong, Catherine Chan, Robert John Burke, Anson Mount, Reggie Lee, Joseph Sikora, Igor Jijikine, Elissa Middleton",Boaz Yakin,https://image.tmdb.org/t/p/w500/kOCpkoMUVae9UIf85gO71SyjLbW.jpg,https://www.youtube.com/watch?v=s3kTkk4k_5Q,https://www.rottentomatoes.com/m/safe
59961,Safe House,2012-02-08,115,3774,6.484,"A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.","Action, Thriller","Universal Pictures, Relativity Media, Bluegrass Films, dentsu",United States of America,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman",Daniel Espinosa,https://image.tmdb.org/t/p/w500/7CBhSjQa07LYt0RGejYjWugGmdV.jpg,https://www.youtube.com/watch?v=oWzTOoOpFa8,https://www.rottentomatoes.com/m/safe_house_2012
84341,Smashed,2012-01-22,85,292,6.483,"Kate and Charlie like to have a good time. Their marriage thrives on a shared fondness for music, laughter… and getting smashed. When Kate’s partying spirals into hard-core asocial behavior, compromising her job as an elementary schoolteacher, something’s got to give. But change isn’t exactly a cakewalk. Sobriety means she will have to confront the lies she’s been spinning at work, her troubling relationship with her mother, and the nature of her bond with Charlie.","Comedy, Drama, Romance",Super Crispy Entertainment,United States of America,"Mary Elizabeth Winstead, Aaron Paul, Octavia Spencer, Nick Offerman, Megan Mullally, Mary Kay Place, Kyle Gallner, Mackenzie Davis, Bree Turner, Brad Carter",James Ponsoldt,https://image.tmdb.org/t/p/w500/d4b2k3bB5C6AC9s3FFZhjZw7rB1.jpg,https://www.youtube.com/watch?v=n1J1IKeqAoI,https://www.rottentomatoes.com/m/smashed
72105,Ted,2012-06-29,107,12811,6.448,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.","Comedy, Fantasy","Universal Pictures, MRC, Fuzzy Door Productions, Bluegrass Films, Smart Entertainment",United States of America,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale, Giovanni Ribisi, Patrick Warburton, Matt Walsh, Jessica Barth, Aedin Mincks, Bill Smitrovich",Seth MacFarlane,https://image.tmdb.org/t/p/w500/tZPTcdGTpxq4yJx1YxqBl0gthNz.jpg,https://www.youtube.com/watch?v=xXDAs23aSQc,https://www.rottentomatoes.com/m/ted_2012
84306,Liberal Arts,2012-09-14,97,560,6.447,"Newly single, 35, and uninspired by his job, Jesse Fisher worries that his best days are behind him. But no matter how much he buries his head in a book, life keeps pulling Jesse back. When his favorite college professor invites him to campus to speak at his retirement dinner, Jesse jumps at the chance.","Romance, Comedy, Drama","Tom Sawyer Entertainment, BCDF Pictures, Strategic Motion Ventures",United States of America,"Josh Radnor, Elizabeth Olsen, Richard Jenkins, John Magaro, Zac Efron, Allison Janney, Elizabeth Reaser, Kate Burton, Robert Desiderio, Kristen Bush",Josh Radnor,https://image.tmdb.org/t/p/w500/yjZIATIFTiDs8rmwoF9izbBVsjg.jpg,https://www.youtube.com/watch?v=rOq-8f6iHqM,https://www.rottentomatoes.com/m/liberal_arts
49527,Man on a Ledge,2012-01-13,102,2705,6.431,"An ex-cop turned con threatens to jump to his death from a Manhattan hotel rooftop. The NYPD dispatch a female police psychologist to talk him down. However, unbeknownst to the police on the scene, the suicide attempt is a cover for the biggest diamond heist ever pulled.","Action, Thriller, Crime","Summit Entertainment, di Bonaventura Pictures",United States of America,"Sam Worthington, Elizabeth Banks, Jamie Bell, Anthony Mackie, Edward Burns, Genesis Rodriguez, Ed Harris, Titus Welliver, Kyra Sedgwick, J. Smith-Cameron",Asger Leth,https://image.tmdb.org/t/p/w500/zGVGAupxcQMZjzWhCTaswjPbpH2.jpg,https://www.youtube.com/watch?v=sBJSfqdhyTg,https://www.rottentomatoes.com/m/man_on_a_ledge
115442,The Wall,2012-10-05,104,137,6.427,"A woman inexplicably finds herself cut off from all human contact when an invisible, unyielding wall suddenly surrounds the countryside. Accompanied by her loyal dog Lynx, she becomes immersed in a world untouched by civilization and ruled by the laws of nature.","Science Fiction, Drama","Coop99 Filmproduktion, ORF, Starhaus Filmproduktion, ARTE, BR","Austria, Germany","Martina Gedeck, Ulrike Beimpold, Karlheinz Hackl, Wolfgang Maria Bauer, Julia Gschnitzer, Hans-Michael Rehberg",Julian Pölsler,https://image.tmdb.org/t/p/w500/gTx2WGltGqtnAB66zfYyAblJKeR.jpg,https://www.youtube.com/watch?v=5Qa-Lo4RSpw,https://www.rottentomatoes.com/m/die_wand
